,Replica 1,Replica 2,Replica 3,Replica 4,Replica 5,Replica 6,Replica 7,Replica 8,MEAN,STD
Time (h),Density (cells/mL),Density (cells/mL),Density (cells/mL),Density (cells/mL),Density (cells/mL),Density (cells/mL),Density (cells/mL),Density (cells/mL),Mean density,Standard deviation
0.166666667,38757.05245,134000.0035,242696.3023,500198.9629,-29350.16687,106800.4763,188368.5033,120401.5136,162734.0809,159886.8128
0.333333333,11521.82528,120401.5136,256271.898,459601.4248,-29350.16687,147595.9467,201954.2669,134000.0035,162749.589,151669.813
0.5,25140.71514,188368.5033,229118.1657,446063.8547,11521.82528,147595.9467,174780.1959,134000.0035,169573.6513,135204.8673
0.666666667,11521.82528,161189.3439,215537.4875,405435.9619,-2099.617853,161189.3439,134000.0035,134000.0035,152596.794,126807.8678
0.833333333,11521.82528,174780.1959,215537.4875,418981.124,-2099.617853,106800.4763,174780.1959,134000.0035,154287.7113,132103.7174
1,25140.71514,161189.3439,215537.4875,432523.7547,2224638.899,106800.4763,215537.4875,147595.9467,441120.5138,730177.5076
1.166666667,25140.71514,174780.1959,242696.3023,418981.124,2264254.368,106800.4763,174780.1959,351229.9849,469832.9203,735997.6583
1.333333333,-29350.16687,147595.9467,215537.4875,405435.9619,2330231.547,79590.75638,188368.5033,79590.75638,427125.099,779388.5014
1.5,25140.71514,161189.3439,229118.1657,418981.124,1641086.059,93196.89079,174780.1959,106800.4763,356286.6213,532237.4195
1.666666667,11521.82528,161189.3439,215537.4875,446063.8547,1481109.653,93196.89079,215537.4875,120401.5136,343069.757,477088.4403
1.833333333,38757.05245,174780.1959,201954.2669,432523.7547,1521137.101,106800.4763,229118.1657,120401.5136,353184.0658,486130.0171
2,25140.71514,201954.2669,229118.1657,418981.124,1840557.548,120401.5136,201954.2669,134000.0035,396513.4504,594326.1135
2.166666667,52370.83794,161189.3439,229118.1657,391888.2676,1587800.092,120401.5136,201954.2669,120401.5136,358140.5002,507031.5604
2.333333333,25140.71514,161189.3439,242696.3023,405435.9619,1400987.945,106800.4763,201954.2669,147595.9467,336475.1197,444154.6509
2.5,52370.83794,188368.5033,229118.1657,459601.4248,1307399.852,120401.5136,242696.3023,147595.9467,343444.0683,407571.2617
2.666666667,38757.05245,174780.1959,242696.3023,432523.7547,702845.8993,134000.0035,215537.4875,147595.9467,261092.0803,211412.0065
2.833333333,11521.82528,174780.1959,242696.3023,405435.9619,554293.6387,106800.4763,201954.2669,120401.5136,227235.5226,175174.4648
3,52370.83794,201954.2669,242696.3023,405435.9619,770268.9527,134000.0035,242696.3023,161189.3439,276326.4964,224280.1641
